Unnamed: 0,song,cnt
253,2002,12
59,ON,12
257,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),12
46,아무노래,12
133,어떻게 지내 (Prod. By VAN.C),12
137,Love poem,12
106,Maniac,12
145,우리 왜 헤어져야 해,12
254,늦은 밤 너의 집 앞 골목길에서,12
200,Paris In The Rain,12
198,처음처럼,12
103,봄날,12
151,"모든 날, 모든 순간 (Every day, Every Moment)",12
90,Blueming,12
128,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),12
192,시작,12
187,너를 만나,12
172,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,12
81,METEOR,12
234,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",12
87,마음을 드려요,12
82,안녕,12
221,Don't Start Now,11
169,아로하,11
27,이제 나만 믿어요,11
60,Dance Monkey,11
159,시든 꽃에 물을 주듯,10
264,살짝 설렜어 (Nonstop),10
141,Memories,10
258,Dolphin,10
113,에잇(Prod.&Feat. SUGA of BTS),10
72,그때 그 아인,10
177,사랑하게 될 줄 알았어,10
224,Psycho,9
235,12:45 (Stripped),9
35,사랑은 지날수록 더욱 선명하게 남아,9
240,Painkiller,9
268,HIP,9
2,반만,9
180,Downtown Baby,9
70,bad guy,9
168,사랑이란 멜로는 없어,9
152,How You Like That,9
195,다시 여기 바닷가,8
98,친구,8
249,00:00 (Zero O’Clock),8
37,어느 60대 노부부이야기,8
223,너를 사랑하고 있어,8
205,좋은 사람 있으면 소개시켜줘,8
120,화려하지 않은 고백,8
130,홀로,8
126,Moon,8
207,To Die For,8
17,Black Swan,8
131,마리아 (Maria),8
45,조금 취했어 (Prod. 2soo),7
16,돌덩이,7
214,When We Disco (Duet with 선미),7
197,Dynamite,7
191,오래된 노래,7
181,Filter,7
8,FIESTA,7
261,나비와 고양이 (feat.백현 (BAEKHYUN)),7
64,거짓말이라도 해서 널 보고싶어,7
26,Stuck with U,7
175,WANNABE,7
105,눈누난나 (NUNU NANA),7
263,취기를 빌려 (취향저격 그녀 X 산들),7
88,덤더럼 (Dumhdurum),6
73,시차,6
279,취했나봐,6
65,별을 담은 시 (Ode To The Stars),6
21,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),6
52,그대 고운 내사랑,6
48,We are Bulletproof : the Eternal,6
62,Into the I-LAND,6
239,DON'T TOUCH ME,5
228,Inner Child,5
149,Savage Love (Laxed - Siren Beat) (BTS Remix),5
262,MORE & MORE,5
132,잠이 오질 않네요,5
50,Summer Hate (Feat. 비),5
272,덤디덤디 (DUMDi DUMDi),5
32,찐이야,5
219,힘든 건 사랑이 아니다,5
34,어떻게 지내 (답가),5
218,딩가딩가 (Dingga),5
110,포장마차,5
119,내 눈물 모아,5
91,보라빛 밤 (pporappippam),5
117,첫 줄,5
184,바램,5
75,서면역에서,5
245,Lovesick Girls,5
274,Louder than bombs,5
66,Bad Boy,5
12,가을밤에 든 생각,4
204,나랑 같이 걸을래 (바른연애 길잡이 X 적재),4
213,너에게 가는 이 길 위에서 (너.이.길),4
176,Birthday,4
121,놓아줘 (with 태연),4
209,"다시 난, 여기",4
3,I CAN’T STOP ME,4
173,여름 안에서 by 싹쓰리 (Feat. 황광희),4
4,소확행,4
276,Interlude : Shadow,4
278,"사랑 못해, 남들 쉽게 다 하는 거",4
275,환상동화 (Secret Story of the Swan),4
138,우리 만남이,4
166,뻔한남자,4
143,PLAY (Feat. 창모),4
144,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),4
25,Respect,4
164,Freak (Prod. Slom),4
116,행복해,4
15,Not Shy,4
124,"너에게 난, 나에게 넌",4
229,Outro : Ego,4
47,그 여름을 틀어줘,4
227,깡 Official Remix,4
225,Life Goes On,4
248,욱 (UGH!),4
58,너도 아는,4
230,사실 나는 (Feat.전건호),4
246,밤새 (취향저격 그녀 X 카더가든),4
74,축하해 (Prod. By VAN.C),4
111,밤하늘의 별을(2020),4
237,Candy,4
277,"사랑, 하자",3
271,Panorama,3
95,비,3
243,버릇처럼 셋을 센다,3
20,마음이 말하는 행복 (Happiness) (Feat.이라온),3
93,Monster,3
238,LINDA (Feat. 윤미래),3
153,사랑에 연습이 있었다면 (Prod. 2soo),3
155,신난다 (Feat. 마마무),3
80,Happy,3
273,Ice Cream (with Selena Gomez),3
162,잘할게,3
96,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)",3
171,Black Mamba,3
85,사랑이 식었다고 말해도 돼,3
231,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom),3
216,다시 만날까 봐,3
256,Lonely Night,3
30,Snowman,3
134,고독하구만 (Feat. 수퍼비) (Prod. GroovyRoom),3
42,혼술하고 싶은 밤,3
217,니가 왜 거기서 나와 (Narr. 고은아),3
39,Square (2017),3
36,주저하는 연인들을 위해,3
108,악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트),3
104,너를 그린 우주 (Insomnia2020) (Feat. 이라온),3
31,Go away go away,3
51,Señorita,3
97,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",3
22,What Do I Call You,3
56,"ON AIR (Feat. 로꼬, 박재범 & GRAY)",3
135,영웅 (英雄; Kick It),3
142,Obsession,3
29,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",3
139,Pretty Savage,3
1,"CREDIT (Feat. 염따, 기리보이, Zion.T)",3
178,12월의 어느 겨울…,2
